,Link,Caption,Comments,Likes,Thumbnail,Video?,Post Date
17,https://www.instagram.com/p/CG_rIJUHAy9/,"Ini dia yang ditunggu-tunggu! Rangkuman ke-1 Cofight Break Eps. 3 bareng dr. @andripsikosomatik Sp.KJ, FACLP dengan tema prokrastinasi 🤓.Ditunggu ya nanti akan ada rekomendasi buku-buku mind-shifting yang bisa Fighters baca di long weekend ini!.Ups, Mico salah pencet slide kedua. Abaikan aja ya Fighters 😳.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #KesehatanMental",0,65,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/122919871_400939750900529_5951195852676101572_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Ylncggm8-BkAX9jB_dC&tp=1&oh=69b79d3a6f14d2b566aa7a3b2a2f81d5&oe=5FF5500C,False,2020 Oct 31 11:42:50
18,https://www.instagram.com/p/CGuoHr9H45l/,"Di Cofight Break sesi ini, Mico membahas mengenai kebiasaan menunda-nunda alias prokrastinasi. Mau tau gimana cara mencegah dan solusinya? Tonton sampai habis, yaa! .#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #KesehatanMental #mentalhealth #mentalhealthawareness #mentalhealthmatters",1,75,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/c0.168.432.432a/122286392_809851523111933_7172227038543294526_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=vJyckrBGv7EAX8JLdyb&tp=1&oh=c85dbfcf779414db92e60462080c63b1&oe=5FD00820,True,2020 Oct 24 20:49:47
19,https://www.instagram.com/p/CGtZthUn0Px/,"Wah topiknya relatable banget! Siapa nih yang suka menunda pekerjaan? Ada yang merasa semakin sering menunda sejak pandemi?.Boleh loh tanya atau curhat tentang masalahmu di Cofight Break episode 3: Menunda Tanda Malas? Atau Ada Penyebab Lain?.Mico nggak sabar nih ngobrol sama dr. @andripsikosomatik Sp.KJ, FACLP pakar psikosomatik. Malam ini banget! 🤩.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters",0,65,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/122449338_278939079986427_2723276089174821068_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=wkB84UJ_La0AX_sTnAq&tp=1&oh=cbe1c50f217bc238a2f1bad65dd14f6a&oe=5FF6D1E2,False,2020 Oct 24 09:24:20
20,https://www.instagram.com/p/CGrXEywHbFi/,"Halo Warga Jawa Tengah dan DIY👋🏻Apa kabar hari ini? Semoga senantiasa sehat dan semangat yaa! Kami dari COFIGHT, sedang melakukan penelitian mengenai “Gambaran Budaya Ewuh Pakewuh terhadap  Penerapan Protokol Kesehatan”Bagi Anda yang berusia 17-60 tahun dan tinggal di Jawa Tengah atau DI Yogyakarta kami memohon kesediaan anda untuk mengisi kuesioner ini😁📝📝📝https://bit.ly/surveycofight📝📝📝🎉 Dapatkan juga voucher pulsa/OVO/GoPay senilai total 500.000 untuk 25 orang pengisi survey yang beruntung!🎉Untuk informasi lebih lanjut silahkan menghubungi Salsabila (+6282226007033 atau collaboratetofight@gmail.com)Salam kolaborasi,COFIGHT",6,154,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/122172799_123162692886282_554581418922539143_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=VH5cuR7vRg8AX_sH0kq&tp=1&oh=cab2132c8fdb2d1526971bccf7605cac&oe=5FF6C2DF,False,2020 Oct 23 14:22:49
21,https://www.instagram.com/p/CGrWQzbnrEI/,"Repost dari dr. @jiemiardian Sp. KJ.Kamu pernah merasa seperti Citra? Kesulitan mengatur jadwal karena terlalu sering prokrastinasi? Kenapa kok bisa gitu ya, Fighters? .Yuk langsung kepoin aja di Cofight Break hari Sabtu 24 Oktober bareng dr. @andripsikosomatik Sp.KJ ✨.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters",1,105,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.135.1145.1145a/s640x640/122248372_826687371477965_282311810611123102_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=q3iH0qnkQW8AX-k2-qb&tp=1&oh=fe6627c8d8e75c028df5d2168dd93ec8&oe=5FF78788,False,2020 Oct 23 14:15:43
22,https://www.instagram.com/p/CGoMv1Fn32o/,"Gimana, jawaban kamu sudah benar belum? 🤓.Ternyata prokrastinasi bukan tanda kemalasan loh! Ibarat gunung es, ada banyak hal yang menyebabkan orang menunda pekerjaan, salah satunya karena kesulitan meregulasi emosi. Tapi yang banyak diketahui orang hanya rasa malas. .Penasaran? Mico juga! Jangan lupa ditonton Cofight Break hari Sabtu 24 Oktober besok!.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters #mentalillness",1,62,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/122049006_645373406370660_6490859337482720237_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=Bgl1aKVELy4AX9s4xKu&tp=1&oh=61231af9aba8b557a42b6e0d7001a7dc&oe=5FF8EAE1,False,2020 Oct 22 08:54:51
23,https://www.instagram.com/p/CGg4-xVHNBM/,"Drakor alert!!!!! Udah nonton film ini? Bukan sembarang drakor nih Fighters, film ini banyak mengangkat topik tentang kesehatan mental 🧐.Setiap penayangan episode baru, film ini selalu jadi trending topic di media sosial loh. Tokoh utamanya adalah tenaga kesehatan di bangsal psikiatri dan seorang penulis dengan kepribadian anti sosial. Ada banyak masalah kesehatan mental lain yang juga diangkat di film ini. Mico jadi ikut belajar tentang kesehatan mental deh. 🤗.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters #kdrama",1,134,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121658917_700761230799028_8298869806606243049_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=r_BI1fVt0p4AX8MT-Cb&tp=1&oh=f4d9884c0807f288d8da9ee793d96f2c&oe=5FF670B0,False,2020 Oct 19 12:47:26
24,https://www.instagram.com/p/CGgiU9EngQY/,"Lewat polling snapgram kemarin, ternyata 43% Fighters merasa pengaruh media sosial itu buruk. Hampir setengahnya, loh! 😱.Kalau menurut kamu gimana? Bisa bayangin nggak pandemi tanpa media sosial?.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters #mentalillness",0,31,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121736478_112707053830254_6072276531069296988_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=dzY1Bz8JOW4AX-OgE59&tp=1&oh=3376c97be6960c480948eeb049601d5d&oe=5FF5E092,False,2020 Oct 19 09:29:29
25,https://www.instagram.com/p/CGeRiR5HwYx/,"Oalah ternyata media sosial sangat berpengaruh terhadap kesehatan mental loh! Mico baru tau. Selama pandemi ini, kamu sudah bijak belum menggunakan media sosial?.Silakan diintip ya Fighters, highlight Cofight Break minggu ini 🤗.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #KesehatanMental",0,46,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121598510_857663044974461_178784307017836477_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=pXd1xmjGqN0AX8soliL&tp=1&oh=160131d03e80c21b1e7d01ebf7ef00a5&oe=5FF8FC7E,False,2020 Oct 18 12:24:17
26,https://www.instagram.com/p/CGcTbjWHJdF/,"Cofight Break: Pandemi Kenapa Capek, Ya? Aku Harus Apa?.Pada Cofight Break sesi ini, Mico membahas mengenai pentingnya menjaga kesehatan mental selama pandemi. Mau tau kenapa dan bagaimana caranya? Tonton sampai habis, yaa!.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #Kesehatan #KesehatanMental",0,31,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.420.1080.1080a/s640x640/122014450_689601421934482_6484122905621924563_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=NHifD04yXh4AX-nq1wM&tp=1&oh=a36eda9a0a307a57f404b42b7a767262&oe=5FCFC066,True,2020 Oct 17 18:02:21
27,https://www.instagram.com/p/CGXEhNPnOJd/,"Pandemi bikin stres banget deh, Mico!.Kok susah ya produktif kayak dulu? Kenapa aku jadi sering mikir yang nggak-nggak? Kapan ya pandemi ini berakhir? .Bisa jadi, keluhan yang kamu rasakan sudah berdampak pada kesehatan mentalmu, lho. 😢.Terus harus gimana, ya? Padahal kata WHO, sehat itu tidak hanya fisik tapi juga mental. Kamu mau temani Mico cari solusinya bareng-bareng?.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters #mentalillness",0,29,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121406077_443884803251365_6413900137879205622_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=101&_nc_ohc=yrA8KiTMhA0AX_9tfi1&tp=1&oh=7774366d6b3db0ab34e8215eca076836&oe=5FCFB9CB,True,2020 Oct 15 17:15:57
28,https://www.instagram.com/p/CGXDl0knRYv/,Pandemi bikin stres? Semua jenis stres memicu masalah mental? Kurang ibadah bisa buat gangguan mental?.Kira-kira mitos atau fakta ya Fighters?.Atau justru Fighters punya pertanyaan lain untuk Cofight Break episode 2?.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #mentalhealth #worldmentalhealthday #mentalhealthawareness #mentalhealthmatters #mentalillness,2,76,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121411346_381163876261866_5637979688623822476_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=ATjZehtS_yEAX-ASmpe&tp=1&oh=2cc150a139ad88ea870c9d9bd48e9597&oe=5FF5A501,False,2020 Oct 15 17:07:45
29,https://www.instagram.com/p/CGT_gcXHR85/,"Ini dia bukti sayangnya Mico. Fighters yang belum nonton Cofight Break edisi Maskne di IGTV, Mico buatin rangkuman! Apa sih yang nggak buat Fighters? .Pasti habis ini wajah Fighters tetap glowing walau diterpa pandemi 🤩.Terima kasih banyak kepada dr. @awaliafebriana, M.Kes, PhD, Sp.KK(K) atas ilmunya yang mencerahkan 🙏🏻.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun",1,127,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121266730_268848267699676_1799822623947784949_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=ggUJjBKtYIUAX8jMNor&tp=1&oh=1f0fe3a9b4b3a5a785e71eb211c42092&oe=5FF54291,False,2020 Oct 14 12:34:20
30,https://www.instagram.com/p/CGTS5sSHq9I/,"Tipe kulit wajah kamu yang mana Fighters? Jangan-jangan belum tahu? Eits, tapi apa ya kepentingan tahu tipe kulit? .Penasaran? Mico kebetulan habis ngobrol bareng dokter spesialis kulit dan kelamin, nih! Langsung aja gaskeun ke IGTV Cofight 😇.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun",0,34,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121511072_2648963002084398_8627231092570539332_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=EYnC3zikb-kAX_XwgsT&tp=1&oh=b0dca2fda95acaebbb2805fb8cd17c5b&oe=5FCFA288,False,2020 Oct 14 06:04:34
31,https://www.instagram.com/p/CGMvxXonhrJ/,"Di Cofight Break sesi ini, Mico membahas mengenai serba-serbi ""maskne"" alias jerawat akibat masker. Mau tau gimana cara mencegah dan solusinya? Tonton sampai habis, yaa! .#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #skincare #skincaretips #skinhealth #skinhealthy",1,86,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/c0.150.540.540a/121076491_763640074491519_441842976066938106_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=C9jUO3SIhhwAX8Nj49b&tp=1&oh=1a1f4389067e00676993ea57257acc23&oe=5FCF89C9,True,2020 Oct 11 17:02:34
32,https://www.instagram.com/p/CGHBSywnvfU/,"Abang mengeluh kulitnya bermasalah sejak pakai masker. Kamu gimana? Mico kulitnya jadi kering dan gampang iritasi nih😷.Dari pada cari info yang menyesatkan, mending langsung tanya ke ahlinya!.Kenalan yuk sama dokter @awaliafebriana spesialis kulit dan kelamin yang akan menemani Fighters ngobrol santai lewat IG Live Cofight Break: Kok Pakai Masker Bikin Jerawatan? Solusinya Apa, Dok?. Mico tunggu ya hari Minggu besok jam 16.00-17.00 WIB 🥳.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #skincare #skincaretips #skinhealth #skinhealthy #meme",4,96,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/121099908_663275071287170_8644796179465818062_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=102&_nc_ohc=KwnudVnFVLgAX-mGPAU&tp=1&oh=461f1b1c0359b7b0d8453a0093e585a2&oe=5FF7163E,False,2020 Oct 09 11:39:49
33,https://www.instagram.com/p/CF6gQzEHYLP/,"“Semangatnya harus diubah, bukan semangat karena wajib tapi semangat kepahlawanan. Semangat untuk berkontribusi kepada ekosistem yang lebih luas.” - @bukik.Terima kasih kami ucapkan kepada @semuamuridsemuaguru @komunitasgurubelajar @kgbhst @kgbpekalongan @indorelawan @wardahbeauty atas kolaborasinya dalam kampanye #AnakSehatMerdekaBelajar. Juga kami ucapkan terima kasih atas wawasan dan ilmu yang mencerahkan dari Bapak @bukik, Bapak @mujib8859, Ibu @anifanind, dokter @mahrunnisafitria dan Ibu Nurul 😊.Tonton video lengkapnya di Youtube Channel COFIGHT ID!.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun",0,53,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/e15/c0.238.612.612a/120734588_253151306084078_3717514116143501808_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=102&_nc_ohc=477bb65Cb4cAX-dzGZ9&tp=1&oh=59ea7d4126b5f8f5d42ef0c5caf71986&oe=5FCFE1A4,True,2020 Oct 04 15:00:18
34,https://www.instagram.com/p/CF4YhVcnqbn/,"Fighters gregetan gak sih liat kondisi sekarang? Banyak banget yaa yang udah gak mengikuti protokol kesehatan.. Lihat berita juga kayaknya bikin makin pusing 😔.Eh tapi, ada kabar baik! Mico mau ajak kakak-kakak keren semua untuk kolaborasi bareng Cofight, terutama yang udah gregetan mau berbuat baik🥳.Langsung aja cekidot bit.ly/CofightSurveyPublik.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #idvolunteering @idvolunteering",5,89,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/120569925_2791269557866531_7511202442962238293_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=ZjgsQFP2b10AX--7-6W&tp=1&oh=e68853b539e92fb2129f0ace20d807c0&oe=5FF7207C,False,2020 Oct 03 19:14:11
35,https://www.instagram.com/p/CFqxaS_nue0/,"Masa lalu kita berkompetisi, masa kini kita berkolaborasi. Kalau pandemi gini, kita gak mungkin bisa mengandalkan satu bidang untuk bisa bangkit. .Menurut kamu, kolaborasi apa sih yang perlu jadi prioritas saat ini? Mico pengen banget diajak sama kamu 🤭.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun",15,63,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/120197155_729893607564455_3802777973739394340_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=7ri1LsIYY6oAX_RtKEf&tp=1&oh=3fd010243450e40b85387bd1192c1aeb&oe=5FCFFEC2,True,2020 Sep 28 12:22:21
